,objectid,fod_id,fpa_id,fire_year,discovery_date,discovery_doy,stat_cause_code,stat_cause_descr,fire_size,fire_size_class,latitude,longitude,state,Month,Temp,WindSpd,WindGust,Humidity,Precipitation
1731457,1731458,300015000.0,W-673380,2014,2014-04-18,108,8,Children,0.3,B,48.0211,-94.8997,MN,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1768338,1768339,300113000.0,SFO-2014SCSCS14FF0439,2014,2014-03-09,68,7,Arson,0.5,B,33.684959,-79.793655,SC,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1725661,1725662,300004000.0,FS-1523263,2014,2014-08-03,215,1,Lightning,0.1,A,37.50527778,-118.66166667,CA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1783733,1783734,300140000.0,SFO-2014ALAFC50708,2014,2014-03-13,72,9,Miscellaneous,0.1,A,31.605897,-86.408292,AL,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1749475,1749476,300090000.0,SFO-2014MSMFC9679,2014,2014-01-26,26,5,Debris Burning,5.0,B,34.67131031,-88.69846740000001,MS,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1782775,1782776,300139000.0,SFO-2014NY8002NY8002-2014-28,2014,2014-04-19,109,9,Miscellaneous,2.08,B,42.1266,-76.6253,NY,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1777924,1777925,300131000.0,SFO-2014CACDFBDU005625,2014,2014-05-11,131,9,Miscellaneous,0.1,A,34.444483,-117.592367,CA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1751229,1751230,300093000.0,SFO-2014TNTNS14-E0051,2014,2014-02-28,59,5,Debris Burning,0.5,B,36.4291,-83.531667,TN,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1770071,1770072,300115000.0,SFO-2014NCNCSNCST-077-20140090,2014,2014-05-08,128,7,Arson,0.5,B,34.94966666,-79.71216666,NC,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1782657,1782658,300139000.0,SFO-2014SCSCS15NF0078,2014,2014-12-14,348,9,Miscellaneous,2.3,B,34.807327,-82.99587199999999,SC,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1735031,1735032,300025000.0,W-670021,2014,2014-07-23,204,1,Lightning,0.1,A,44.9725,-121.4678,OR,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
